timestamp,speed_mph,rpm,throttle_pos,engine_temp_C,CO2,CO,HC,O2,NOx,fuel_rate_L100km,vehicle_id
0,67.7,2687,51.6,84.6,209.88,0.574,84.6,1.34,199.2,7.78,Car_0002
5,55.2,2369,46.6,80.4,197.12,0.545,65.6,0.83,199.6,7.52,Car_0002
10,72.7,2910,63.6,89.4,198.08,0.313,81.8,0.82,162.6,7.79,Car_0002
15,64.3,2816,57.7,88.7,192.11,0.931,63.1,0.93,184.2,8.89,Car_0002
20,68.1,2740,58.0,81.7,179.32,0.725,79.6,1.06,156.4,8.92,Car_0002
25,67.0,2612,51.3,80.9,169.8,0.609,87.3,0.98,157.6,8.5,Car_0002
30,57.1,2464,46.8,83.4,192.53,0.479,89.4,0.89,220.3,7.66,Car_0002
35,74.5,3063,63.3,85.6,161.67,0.95,61.7,0.56,189.2,7.83,Car_0002
40,83.7,3250,66.4,82.7,201.51,0.861,85.5,0.57,261.2,8.93,Car_0002
45,64.4,2726,54.4,85.9,192.36,0.527,117.3,1.65,197.8,7.69,Car_0002
50,62.3,2749,43.8,84.7,198.37,0.505,71.9,1.35,223.5,7.84,Car_0002
55,77.4,3102,61.9,84.1,211.95,0.448,78.6,1.11,215.6,8.7,Car_0002
60,66.2,3019,59.3,78.2,213.36,0.289,52.6,0.59,250.9,8.07,Car_0002
65,73.6,2841,66.7,84.5,173.57,0.648,89.8,0.83,246.4,8.75,Car_0002
70,84.3,3324,70.8,87.9,212.7,0.537,117.7,0.83,211.0,9.03,Car_0002
75,65.8,2610,65.2,88.6,177.89,0.603,92.5,0.65,244.3,7.95,Car_0002
80,81.0,3166,70.0,90.0,201.65,0.502,84.4,1.02,188.4,8.5,Car_0002
85,87.5,3564,69.6,81.5,177.27,0.375,74.3,0.78,163.4,8.99,Car_0002
90,50.5,2328,50.1,81.8,147.15,0.534,94.0,0.68,186.7,8.33,Car_0002
95,87.5,3485,66.8,86.0,181.12,0.581,75.2,0.63,277.4,8.8,Car_0002
100,62.4,2711,55.5,85.7,180.63,0.441,68.2,0.65,162.3,7.97,Car_0002
105,63.7,2735,49.2,88.2,198.1,0.797,52.7,1.22,186.5,8.43,Car_0002
