timestamp,speed_mph,rpm,throttle_pos,engine_temp_C,CO2,CO,HC,O2,NOx,fuel_rate_L100km,vehicle_id
0,30.1,1773,24.5,80.5,177.5,0.319,75.7,0.83,168.4,7.59,Car_0000
5,36.8,1913,26.9,82.0,176.91,0.647,80.8,0.77,185.0,6.5,Car_0000
10,29.5,1734,29.0,84.3,177.97,0.445,95.6,0.47,180.5,6.23,Car_0000
15,11.5,1085,5.0,87.7,179.04,0.031,96.9,0.5,132.7,6.24,Car_0000
20,33.9,1898,31.4,86.1,182.89,0.503,67.5,0.58,144.5,7.38,Car_0000
25,31.5,1977,22.1,81.8,185.07,0.645,90.1,1.05,223.0,7.0,Car_0000
30,22.6,1423,23.6,80.8,171.27,0.419,73.7,1.02,170.7,7.91,Car_0000
35,39.4,1920,30.0,82.7,187.54,0.287,78.6,1.02,135.1,7.17,Car_0000
40,20.2,1296,14.0,86.4,188.04,0.316,85.2,0.85,186.6,7.12,Car_0000
45,37.5,1825,35.8,86.4,191.18,0.423,119.1,0.69,224.6,7.31,Car_0000
50,31.7,1637,25.6,89.5,184.08,0.516,32.5,1.01,176.8,6.78,Car_0000
55,31.2,1736,34.6,82.1,165.92,0.695,71.1,0.69,161.8,6.42,Car_0000
60,38.4,1831,36.4,85.3,207.06,0.488,107.3,0.41,156.1,7.44,Car_0000
65,51.0,2162,47.5,87.1,197.47,0.63,81.0,0.64,122.1,7.8,Car_0000
70,35.9,2079,26.9,86.3,150.51,0.305,85.2,1.05,227.2,7.17,Car_0000
75,28.9,1712,26.7,86.8,161.71,0.61,81.8,1.01,208.0,7.27,Car_0000
80,40.5,2229,34.9,84.5,176.48,0.721,82.4,0.96,222.1,7.09,Car_0000
85,24.7,1570,21.7,83.6,184.57,0.48,60.1,0.96,144.5,6.08,Car_0000
90,42.5,2069,31.7,87.0,181.32,0.293,88.0,1.1,140.5,7.61,Car_0000
95,39.2,2201,23.3,87.6,170.07,0.346,118.0,0.8,263.0,7.08,Car_0000
100,42.2,2017,31.7,85.7,169.5,0.449,37.9,1.4,160.6,8.28,Car_0000
105,31.6,1777,42.2,82.9,150.11,0.352,89.4,1.01,210.8,6.93,Car_0000
110,27.1,1569,28.8,86.9,142.15,0.387,108.0,1.44,174.8,7.06,Car_0000
115,30.2,1621,25.4,87.1,180.46,0.281,57.0,0.57,107.8,7.33,Car_0000
120,21.8,1421,20.4,90.2,171.83,0.552,72.0,0.58,120.4,7.49,Car_0000
125,48.4,2302,57.0,85.5,184.47,0.597,75.6,1.49,237.0,6.92,Car_0000
130,37.4,1965,35.1,81.6,139.65,0.044,78.6,0.77,179.3,6.86,Car_0000
135,31.0,1526,27.4,86.8,186.18,0.545,76.2,1.2,145.4,6.7,Car_0000
140,36.7,1842,19.7,86.2,176.61,0.276,65.7,0.91,230.1,7.24,Car_0000
145,36.9,1846,30.4,81.9,171.01,0.414,116.9,1.08,202.9,6.87,Car_0000
150,46.3,2076,40.2,87.0,162.54,0.851,91.3,0.23,191.3,7.34,Car_0000
155,41.0,2076,36.1,79.7,156.66,0.585,106.0,1.37,241.3,6.34,Car_0000
160,47.2,2022,47.4,86.6,156.65,0.889,92.9,0.23,179.1,7.21,Car_0000
165,41.9,2009,41.8,81.6,178.46,0.822,63.5,0.86,175.0,7.05,Car_0000
170,46.1,2192,33.7,91.1,186.49,0.385,67.3,0.56,222.3,7.46,Car_0000
175,44.5,2117,40.2,85.5,185.7,0.414,96.6,1.0,165.9,7.05,Car_0000
180,33.2,1722,22.8,88.5,171.57,0.678,125.6,0.81,95.5,6.92,Car_0000
185,40.0,1851,32.1,86.8,166.02,0.257,64.8,1.34,155.3,6.92,Car_0000
190,37.5,2019,27.8,87.4,184.67,0.539,108.0,0.63,212.6,6.85,Car_0000
195,37.1,2033,35.0,86.0,155.95,0.537,67.4,0.52,141.8,7.36,Car_0000
200,23.1,1529,20.1,84.2,186.85,0.473,67.9,0.6,178.8,6.01,Car_0000
205,37.2,1853,31.4,86.7,173.47,0.634,84.6,0.71,113.3,7.6,Car_0000
