timestamp,speed_mph,rpm,throttle_pos,engine_temp_C,CO2,CO,HC,O2,NOx,fuel_rate_L100km,vehicle_id
0,60.1,2693,58.1,80.5,132.52,0.39,26.5,0.82,245.5,7.74,Car_0001
5,44.1,2037,34.3,85.9,122.43,0.656,41.6,0.9,148.2,8.21,Car_0001
10,49.1,2064,28.8,82.0,132.97,0.356,80.6,1.0,114.2,6.74,Car_0001
15,45.5,2129,37.4,83.1,138.23,0.734,47.5,0.43,196.6,8.3,Car_0001
20,42.4,1944,25.3,85.9,121.16,0.812,126.8,0.87,184.2,7.35,Car_0001
25,53.6,2408,45.0,89.2,151.62,0.901,47.3,0.63,144.1,8.21,Car_0001
30,41.0,2091,28.3,84.9,175.09,0.719,42.4,0.91,202.8,7.12,Car_0001
35,36.6,1965,31.0,86.8,137.64,0.871,61.7,0.65,186.1,7.59,Car_0001
40,34.9,1976,21.8,85.2,135.46,0.217,102.7,0.1,136.6,6.71,Car_0001
45,53.4,2556,48.4,89.4,109.6,0.525,52.3,0.69,195.0,7.83,Car_0001
50,57.8,2336,44.0,80.8,117.28,0.671,83.6,1.27,225.3,7.96,Car_0001
55,39.5,2083,29.5,81.7,123.34,0.422,105.3,0.82,218.4,7.36,Car_0001
60,44.3,2399,46.0,85.9,129.7,0.158,88.0,0.72,198.6,7.64,Car_0001
65,51.6,2461,44.5,83.2,130.93,0.589,58.6,1.02,210.6,7.7,Car_0001
70,42.2,1888,29.6,80.5,140.02,0.31,61.6,1.06,168.1,7.43,Car_0001
75,53.3,2502,36.4,87.5,115.56,0.273,100.2,1.01,210.0,7.87,Car_0001
80,60.5,2460,48.9,85.5,173.01,0.7,100.8,0.57,272.0,8.25,Car_0001
85,41.5,2279,27.4,82.8,138.07,0.191,90.5,0.88,180.5,8.33,Car_0001
90,36.8,2040,26.5,89.8,168.96,0.843,76.2,0.45,181.1,7.2,Car_0001
95,36.1,1955,25.4,89.8,154.44,0.321,80.7,0.73,146.9,8.75,Car_0001
100,42.9,2093,40.7,84.3,131.22,0.188,103.8,1.01,188.6,6.68,Car_0001
105,54.7,2470,43.9,81.4,141.68,0.295,81.6,0.82,168.8,8.27,Car_0001
110,50.4,2365,44.1,88.6,127.55,0.401,98.4,0.85,223.9,8.05,Car_0001
115,47.6,2315,38.4,88.4,169.56,0.66,125.8,0.33,155.2,7.45,Car_0001
120,48.1,2281,38.3,88.9,156.36,0.524,59.8,0.96,203.0,7.78,Car_0001
125,51.7,2492,40.4,84.5,152.65,0.558,97.1,0.71,130.5,7.11,Car_0001
130,48.2,2325,44.1,80.2,149.82,0.453,59.2,1.46,188.1,8.02,Car_0001
135,72.3,2911,58.3,90.1,125.12,0.556,80.9,1.09,213.2,7.95,Car_0001
140,59.7,2674,44.5,83.6,135.67,0.243,101.3,0.7,178.0,7.47,Car_0001
145,48.8,2412,44.4,80.9,127.4,0.599,70.0,0.63,146.0,6.96,Car_0001
150,52.8,2344,49.7,85.5,127.43,0.637,106.9,0.58,110.0,7.52,Car_0001
155,41.2,2200,27.4,84.8,163.29,0.561,69.7,0.57,166.1,7.25,Car_0001
160,64.0,2704,46.6,88.8,159.25,0.438,95.4,0.82,141.9,8.09,Car_0001
165,42.8,2021,31.0,86.8,143.09,0.141,61.6,0.8,185.9,7.46,Car_0001
170,34.3,1957,37.4,90.6,148.13,0.571,66.9,0.86,120.0,7.2,Car_0001
175,40.4,2071,31.9,88.2,143.28,0.318,96.9,0.45,158.4,7.08,Car_0001
180,57.7,2523,49.4,87.5,107.61,0.312,82.3,1.1,207.0,8.58,Car_0001
185,49.9,2305,39.1,84.6,129.25,0.337,76.2,0.6,177.9,6.75,Car_0001
190,54.9,2464,48.0,84.6,134.88,0.686,76.9,1.4,125.9,7.71,Car_0001
195,42.3,1990,31.3,84.5,151.88,0.178,92.2,0.37,150.1,8.07,Car_0001
200,54.8,2471,48.8,87.7,151.96,0.775,59.2,0.78,207.9,8.2,Car_0001
